GO:0000001	mitochondrion inheritance
GO:0015247	aminophospholipid flippase activity
GO:0015248	sterol transporter activity
GO:0015250	water channel activity
GO:0015252	proton channel activity
GO:0015254	glycerol channel activity
GO:0015265	urea channel activity
GO:0015267	channel activity
GO:0015269	calcium-activated potassium channel activity
GO:0015271	outward rectifier potassium channel activity
GO:0015272	ATP-activated inward rectifier potassium channel activity
GO:0015275	stretch-activated, cation-selective, calcium channel activity
GO:0015276	ligand-gated ion channel activity
GO:0015277	kainate selective glutamate receptor activity
GO:0015278	calcium-release channel activity
GO:0015279	store-operated calcium channel activity
GO:0015280	ligand-gated sodium channel activity
GO:0015288	porin activity
GO:0015291	secondary active transmembrane transporter activity
GO:0015292	uniporter activity
GO:0015293	symporter activity
GO:0015294	solute:cation symporter activity
GO:0015295	solute:proton symporter activity
GO:0015296	anion:cation symporter activity
GO:0015297	antiporter activity
GO:0015298	solute:cation antiporter activity
GO:0015299	solute:proton antiporter activity
GO:0015301	anion:anion antiporter activity
GO:0015315	organophosphate:inorganic phosphate antiporter activity
GO:0015318	inorganic molecular entity transmembrane transporter activity
GO:0015319	sodium:inorganic phosphate symporter activity
GO:0015321	sodium-dependent phosphate transmembrane transporter activity
GO:0015322	secondary active oligopeptide transmembrane transporter activity
GO:0015333	peptide:proton symporter activity
GO:0015341	zinc efflux active transmembrane transporter activity
GO:0015343	siderophore transmembrane transporter activity
GO:0015344	siderophore uptake transmembrane transporter activity
GO:0015347	sodium-independent organic anion transmembrane transporter activity
GO:0015349	thyroid hormone transmembrane transporter activity
GO:0015350	methotrexate transmembrane transporter activity
GO:0015355	secondary active monocarboxylate transmembrane transporter activity
GO:0015361	low-affinity sodium:dicarboxylate symporter activity
GO:0015362	high-affinity sodium:dicarboxylate symporter activity
GO:0015366	malate:proton symporter activity
GO:0015367	oxoglutarate:malate antiporter activity
GO:0015368	calcium:cation antiporter activity
GO:0015369	calcium:proton antiporter activity
GO:0015370	solute:sodium symporter activity
GO:0015373	anion:sodium symporter activity
GO:0015375	glycine:sodium symporter activity
GO:0015377	cation:chloride symporter activity
GO:0015378	sodium:chloride symporter activity
GO:0015379	potassium:chloride symporter activity
GO:0015382	sodium:sulfate symporter activity
GO:0015385	sodium:proton antiporter activity
GO:0015386	potassium:proton antiporter activity
GO:0015389	pyrimidine- and adenine-specific:sodium symporter activity
GO:0015390	purine-specific nucleoside:sodium symporter activity
GO:0015391	nucleobase:cation symporter activity
GO:0015398	high-affinity secondary active ammonium transmembrane transporter activity
GO:0015399	primary active transmembrane transporter activity
GO:0015405	P-P-bond-hydrolysis-driven transmembrane transporter activity
GO:0015407	ATPase-coupled monosaccharide transmembrane transporter activity
GO:0015408	ATPase-coupled ferric iron transmembrane transporter activity
GO:0015410	manganese transmembrane transporter activity, phosphorylative mechanism
GO:0015411	ATPase-coupled taurine transporter activity
GO:0015412	ATPase-coupled molybdate transmembrane transporter activity
GO:0015413	ATPase-coupled nickel transmembrane transporter activity
GO:0015415	ATPase-coupled phosphate ion transmembrane transporter activity
GO:0015416	ATPase-coupled organic phosphonate transmembrane transporter activity
GO:0015417	ATPase-coupled polyamine transmembrane transporter activity
GO:0015418	ATPase-coupled quaternary ammonium compound transmembrane transporting activity
GO:0015419	ATPase-coupled sulfate transmembrane transporter activity
GO:0015420	ATPase-coupled vitamin B12 transmembrane transporter activity
GO:0015421	ATPase-coupled oligopeptide transmembrane transporter activity
GO:0015422	ATPase-coupled oligosaccharide transmembrane transporter activity
GO:0015423	ATPase-coupled maltose transmembrane transporter activity
GO:0015424	ATPase-coupled amino acid transmembrane transporter activity
GO:0015430	ATPase-coupled glycerol-3-phosphate transmembrane transporter activity
GO:0015431	ATPase-coupled glutathione S-conjugate transmembrane transporter activity
GO:0015432	ATPase-coupled bile acid transmembrane transporter activity
GO:0015433	ATPase-coupled peptide antigen transmembrane transporter activity
GO:0015434	ATPase-coupled cadmium transmembrane transporter activity
GO:0015437	lipopolysaccharide floppase activity
GO:0015438	ATPase-coupled teichoic acid transmembrane transporter activity
GO:0015439	ATPase-coupled heme transmembrane transporter activity
GO:0015440	ATPase-coupled peptide transmembrane transporter activity
GO:0015441	ATPase-coupled beta-glucan transporter activity
GO:0015444	magnesium transmembrane transporter activity, phosphorylative mechanism
GO:0015446	ATPase-coupled arsenite transmembrane transporter activity
GO:0015450	P-P-bond-hydrolysis-driven protein transmembrane transporter activity
GO:0015451	decarboxylation-driven active transmembrane transporter activity
GO:0015453	oxidoreduction-driven active transmembrane transporter activity
GO:0015459	potassium channel regulator activity
GO:0015462	ATPase-coupled protein transmembrane transporter activity
GO:0015464	acetylcholine receptor activity
GO:0015467	G-protein activated inward rectifier potassium channel activity
GO:0015473	fimbrial usher porin activity
GO:0015481	maltose transporting porin activity
GO:0015483	long-chain fatty acid transporting porin activity
GO:0015485	cholesterol binding
GO:0015489	putrescine transmembrane transporter activity
GO:0015491	cation:cation antiporter activity
GO:0015495	gamma-aminobutyric acid:proton symporter activity
GO:0015496	putrescine:ornithine antiporter activity
GO:0015499	formate transmembrane transporter activity
GO:0015501	glutamate:sodium symporter activity
GO:0015503	glutathione-regulated potassium exporter activity
GO:0015505	uracil:cation symporter activity
GO:0015506	nucleoside:proton symporter activity
GO:0015513	high-affinity secondary active nitrite transmembrane transporter activity
GO:0015520	tetracycline:proton antiporter activity
GO:0015526	hexose-phosphate:inorganic phosphate antiporter activity
GO:0015538	sialic acid:proton symporter activity
GO:0015552	propionate transmembrane transporter activity
GO:0015556	C4-dicarboxylate transmembrane transporter activity
GO:0015558	secondary active p-aminobenzoyl-glutamate transmembrane transporter activity
GO:0015562	efflux transmembrane transporter activity
GO:0015565	threonine efflux transmembrane transporter activity
GO:0015572	N-acetylglucosamine transmembrane transporter activity
GO:0015573	beta-glucoside transmembrane transporter activity
GO:0015574	trehalose transmembrane transporter activity
GO:0015575	mannitol transmembrane transporter activity
GO:0015577	galactitol transmembrane transporter activity
GO:0015578	mannose transmembrane transporter activity
GO:0015591	D-ribose transmembrane transporter activity
GO:0015594	ATPase-coupled putrescine transmembrane transporter activity
GO:0015595	ATPase-coupled spermidine transmembrane transporter activity
GO:0015603	iron chelate transmembrane transporter activity
GO:0015604	organic phosphonate transmembrane transporter activity
GO:0015605	organophosphate ester transmembrane transporter activity
GO:0015606	spermidine transmembrane transporter activity
GO:0015607	ATPase-coupled fatty-acyl-CoA transmembrane transporter activity
GO:0015608	carbohydrate-importing ATPase activity
GO:0015612	L-arabinose-importing ATPase activity
GO:0015614	ATPase-coupled D-xylose transmembrane transporter activity
GO:0015616	DNA translocase activity
GO:0015620	ferric-enterobactin transmembrane transporter activity
GO:0015627	type II protein secretion system complex
GO:0015628	protein secretion by the type II secretion system
GO:0015629	actin cytoskeleton
GO:0015630	microtubule cytoskeleton
GO:0015631	tubulin binding
GO:0015633	ATPase-coupled zinc transmembrane transporter activity
GO:0015636	short-chain fatty acid transmembrane transporter activity
GO:0015643	toxic substance binding
GO:0015645	fatty acid ligase activity
GO:0015647	peptidoglycan transmembrane transporter activity
GO:0015648	lipid-linked peptidoglycan transporter activity
GO:0015649	2-keto-3-deoxygluconate:proton symporter activity
GO:0015651	quaternary ammonium group transmembrane transporter activity
GO:0015652	quaternary ammonium group:proton symporter activity
GO:0015653	glycine betaine:proton symporter activity
GO:0015655	alanine:sodium symporter activity
GO:0015658	branched-chain amino acid transmembrane transporter activity
GO:0015660	formate efflux transmembrane transporter activity
GO:0015661	L-lysine efflux transmembrane transporter activity
GO:0015662	ion transmembrane transporter activity, phosphorylative mechanism
GO:0015665	alcohol transmembrane transporter activity
GO:0015666	restriction endodeoxyribonuclease activity
GO:0015667	site-specific DNA-methyltransferase (cytosine-N4-specific) activity
GO:0015668	type III site-specific deoxyribonuclease activity
GO:0015669	gas transport
GO:0015670	carbon dioxide transport
GO:0015671	oxygen transport
GO:0015672	monovalent inorganic cation transport
GO:0015675	nickel cation transport
GO:0015677	copper ion import
GO:0015679	plasma membrane copper ion transport
GO:0015680	protein maturation by copper ion transfer
GO:0015685	ferric-enterobactin import into cell
GO:0015689	molybdate ion transport
GO:0015690	aluminum cation transport
GO:0015691	cadmium ion transport
GO:0015692	lead ion transport
GO:0015693	magnesium ion transport
GO:0015694	mercury ion transport
GO:0015695	organic cation transport
GO:0015696	ammonium transport
GO:0015697	quaternary ammonium group transport
GO:0015698	inorganic anion transport
GO:0015699	antimonite transport
GO:0015700	arsenite transport
GO:0015701	bicarbonate transport
GO:0015703	chromate transport
GO:0015705	iodide transport
GO:0015706	nitrate transport
GO:0015707	nitrite transport
GO:0015708	silicic acid import across plasma membrane
GO:0015709	thiosulfate transport
GO:0015711	organic anion transport
GO:0015712	hexose phosphate transport
GO:0015713	phosphoglycerate transmembrane transport
GO:0015714	phosphoenolpyruvate transport
GO:0015716	organic phosphonate transport
GO:0015717	triose phosphate transport
GO:0015718	monocarboxylic acid transport
GO:0015719	allantoate transport
GO:0015720	allantoin transport
GO:0015721	bile acid and bile salt transport
GO:0015722	canalicular bile acid transport
GO:0015723	bilirubin transport
GO:0015724	formate transport
GO:0015727	lactate transport
GO:0015729	oxaloacetate transport
GO:0015730	propanoate transport
GO:0015732	prostaglandin transport
GO:0015734	taurine transport
GO:0015739	sialic acid transport
GO:0015740	C4-dicarboxylate transport
GO:0015741	fumarate transport
GO:0015742	alpha-ketoglutarate transport
GO:0015743	malate transport
GO:0015744	succinate transport
GO:0015746	citrate transport
GO:0015747	urate transport
GO:0015748	organophosphate ester transport
GO:0015749	monosaccharide transmembrane transport
GO:0015750	pentose transmembrane transport
GO:0015751	arabinose transmembrane transport
GO:0015752	D-ribose transmembrane transport
GO:0015753	D-xylose transmembrane transport
GO:0015755	fructose transmembrane transport
GO:0015756	fucose transmembrane transport
GO:0015757	galactose transmembrane transport
GO:0015759	beta-glucoside transport
GO:0015760	glucose-6-phosphate transport
GO:0015761	mannose transmembrane transport
GO:0015762	rhamnose transmembrane transport
GO:0015766	disaccharide transport
GO:0015767	lactose transport
GO:0015768	maltose transport
GO:0015770	sucrose transport
GO:0015771	trehalose transport
GO:0015772	oligosaccharide transport
GO:0015773	raffinose transport
GO:0015774	polysaccharide transport
GO:0015775	beta-glucan transport
GO:0015776	capsular polysaccharide transport
GO:0015777	teichoic acid transport
GO:0015780	nucleotide-sugar transmembrane transport
GO:0015782	CMP-N-acetylneuraminate transmembrane transport
GO:0015783	GDP-fucose transmembrane transport
GO:0015786	UDP-glucose transmembrane transport
GO:0015787	UDP-glucuronic acid transmembrane transport
GO:0015789	UDP-N-acetylgalactosamine transmembrane transport
GO:0015790	UDP-xylose transmembrane transport
GO:0015791	polyol transport
GO:0015793	glycerol transport
GO:0015794	glycerol-3-phosphate transmembrane transport
GO:0015795	sorbitol transport
GO:0015796	galactitol transport
GO:0015797	mannitol transport
GO:0015798	myo-inositol transport
GO:0015800	acidic amino acid transport
GO:0015801	aromatic amino acid transport
GO:0015802	basic amino acid transport
GO:0015803	branched-chain amino acid transport
GO:0015804	neutral amino acid transport
GO:0015805	S-adenosyl-L-methionine transport
GO:0015806	S-methylmethionine transport
GO:0015807	L-amino acid transport
GO:0015808	L-alanine transport
GO:0015809	arginine transport
GO:0015810	aspartate transmembrane transport
GO:0015811	L-cystine transport
GO:0015812	gamma-aminobutyric acid transport
GO:0015813	L-glutamate transmembrane transport
GO:0015814	p-aminobenzoyl-glutamate transport
GO:0015816	glycine transport
GO:0015817	histidine transport
GO:0015818	isoleucine transport
GO:0015819	lysine transport
GO:0015820	leucine transport
GO:0015821	methionine transport
GO:0015822	ornithine transport
GO:0015823	phenylalanine transport
GO:0015824	proline transport
GO:0015825	L-serine transport
GO:0015826	threonine transport
GO:0015827	tryptophan transport
GO:0015828	tyrosine transport
GO:0015829	valine transport
GO:0015833	peptide transport
GO:0015835	peptidoglycan transport
GO:0015836	lipid-linked peptidoglycan transport
GO:0015837	amine transport
GO:0015838	amino-acid betaine transport
GO:0015839	cadaverine transport
GO:0015840	urea transport
GO:0015842	aminergic neurotransmitter loading into synaptic vesicle
GO:0015843	methylammonium transport
GO:0015844	monoamine transport
GO:0015846	polyamine transport
GO:0015847	putrescine transport
GO:0015848	spermidine transport
GO:0015849	organic acid transport
GO:0015850	organic hydroxy compound transport
GO:0015851	nucleobase transport
GO:0015853	adenine transport
GO:0015854	guanine transport
GO:0015855	pyrimidine nucleobase transport
GO:0015856	cytosine transport
GO:0015857	uracil transport
GO:0015858	nucleoside transport
GO:0015860	purine nucleoside transmembrane transport
GO:0015861	cytidine transport
GO:0015862	uridine transport
GO:0015864	pyrimidine nucleoside transport
GO:0015865	purine nucleotide transport
GO:0015866	ADP transport
GO:0015867	ATP transport
GO:0015868	purine ribonucleotide transport
GO:0015870	acetylcholine transport
GO:0015871	choline transport
GO:0015872	dopamine transport
GO:0015874	norepinephrine transport
GO:0015876	acetyl-CoA transport
GO:0015877	biopterin transport
GO:0015878	biotin transport
GO:0015879	carnitine transport
GO:0015880	coenzyme A transport
GO:0015881	creatine transmembrane transport
GO:0015882	L-ascorbic acid transmembrane transport
GO:0015883	FAD transport
GO:0015884	folic acid transport
GO:0015885	5-formyltetrahydrofolate transport
GO:0015886	heme transport
GO:0015887	pantothenate transmembrane transport
GO:0015888	thiamine transport
GO:0015889	cobalamin transport
GO:0015891	siderophore transport
GO:0015893	drug transport
GO:0015903	fluconazole transport
GO:0015904	tetracycline transmembrane transport
GO:0015908	fatty acid transport
GO:0015909	long-chain fatty acid transport
GO:0015910	long-chain fatty acid import into peroxisome
GO:0015911	long-chain fatty acid import across plasma membrane
GO:0015912	short-chain fatty acid transport
GO:0015913	short-chain fatty acid import
GO:0015914	phospholipid transport
GO:0015916	fatty-acyl-CoA transport
GO:0015917	aminophospholipid transport
GO:0015918	sterol transport
GO:0015919	peroxisomal membrane transport
GO:0015920	lipopolysaccharide transport
GO:0015922	aspartate oxidase activity
GO:0015923	mannosidase activity
GO:0015924	mannosyl-oligosaccharide mannosidase activity
GO:0015925	galactosidase activity
GO:0015926	glucosidase activity
GO:0015927	trehalase activity
GO:0015928	fucosidase activity
GO:0015929	hexosaminidase activity
GO:0015930	glutamate synthase activity
GO:0015931	nucleobase-containing compound transport
GO:0015932	nucleobase-containing compound transmembrane transporter activity
GO:0015934	large ribosomal subunit
GO:0015935	small ribosomal subunit
GO:0015936	coenzyme A metabolic process
GO:0015937	coenzyme A biosynthetic process
GO:0015938	coenzyme A catabolic process
GO:0015939	pantothenate metabolic process
GO:0015940	pantothenate biosynthetic process
GO:0015941	pantothenate catabolic process
GO:0015942	formate metabolic process
GO:0015944	formate oxidation
GO:0015945	methanol metabolic process
GO:0015946	methanol oxidation
GO:0015947	methane metabolic process
GO:0015948	methanogenesis
GO:0015949	nucleobase-containing small molecule interconversion
GO:0015950	purine nucleotide interconversion
GO:0015951	purine ribonucleotide interconversion
GO:0015959	diadenosine polyphosphate metabolic process
GO:0015960	diadenosine polyphosphate biosynthetic process
GO:0015961	diadenosine polyphosphate catabolic process
GO:0015962	diadenosine triphosphate metabolic process
GO:0015964	diadenosine triphosphate catabolic process
GO:0015965	diadenosine tetraphosphate metabolic process
GO:0015966	diadenosine tetraphosphate biosynthetic process
GO:0015967	diadenosine tetraphosphate catabolic process
GO:0015968	stringent response
GO:0015969	guanosine tetraphosphate metabolic process
GO:0015970	guanosine tetraphosphate biosynthetic process
GO:0015971	guanosine tetraphosphate catabolic process
GO:0015972	guanosine pentaphosphate metabolic process
GO:0015974	guanosine pentaphosphate catabolic process
GO:0015975	energy derivation by oxidation of reduced inorganic compounds
GO:0015976	carbon utilization
GO:0015977	carbon fixation
GO:0015979	photosynthesis
GO:0015980	energy derivation by oxidation of organic compounds
GO:0015985	energy coupled proton transport, down electrochemical gradient
GO:0015986	ATP synthesis coupled proton transport
GO:0015988	energy coupled proton transmembrane transport, against electrochemical gradient
GO:0015990	electron transport coupled proton transport
GO:0015994	chlorophyll metabolic process
GO:0015995	chlorophyll biosynthetic process
GO:0015996	chlorophyll catabolic process
GO:0016002	sulfite reductase activity
GO:0016004	phospholipase activator activity
GO:0016005	phospholipase A2 activator activity
GO:0016006	Nebenkern
GO:0016007	mitochondrial derivative
GO:0016010	dystrophin-associated glycoprotein complex
GO:0016011	dystroglycan complex
GO:0016012	sarcoglycan complex
GO:0016013	syntrophin complex
GO:0016014	dystrobrevin complex
GO:0016015	morphogen activity
GO:0016018	cyclosporin A binding
GO:0016019	peptidoglycan receptor activity
GO:0016020	membrane
GO:0016021	integral component of membrane
GO:0016024	CDP-diacylglycerol biosynthetic process
GO:0016027	inaD signaling complex
GO:0016028	rhabdomere
GO:0016029	subrhabdomeral cisterna
GO:0016031	tRNA import into mitochondrion
GO:0016032	viral process
GO:0016034	maleylacetoacetate isomerase activity
GO:0016035	zeta DNA polymerase complex
GO:0016036	cellular response to phosphate starvation
GO:0016037	light absorption
GO:0016038	absorption of visible light
GO:0016039	absorption of UV light
GO:0016040	glutamate synthase (NADH) activity
GO:0016041	glutamate synthase (ferredoxin) activity
GO:0016042	lipid catabolic process
GO:0016043	cellular component organization
GO:0016045	detection of bacterium
GO:0016046	detection of fungus
GO:0016048	detection of temperature stimulus
GO:0016049	cell growth
GO:0016050	vesicle organization
GO:0016051	carbohydrate biosynthetic process
GO:0016052	carbohydrate catabolic process
GO:0016053	organic acid biosynthetic process
GO:0016054	organic acid catabolic process
GO:0016055	Wnt signaling pathway
GO:0016056	rhodopsin mediated signaling pathway
GO:0016057	regulation of membrane potential in photoreceptor cell
GO:0016058	maintenance of membrane potential in photoreceptor cell by rhodopsin mediated signaling
GO:0016059	deactivation of rhodopsin mediated signaling
GO:0016062	adaptation of rhodopsin mediated signaling
GO:0016063	rhodopsin biosynthetic process
GO:0016064	immunoglobulin mediated immune response
GO:0016070	RNA metabolic process
GO:0016071	mRNA metabolic process
GO:0016072	rRNA metabolic process
GO:0016073	snRNA metabolic process
GO:0016074	snoRNA metabolic process
GO:0016075	rRNA catabolic process
GO:0016076	snRNA catabolic process
GO:0016077	snoRNA catabolic process
GO:0016078	tRNA catabolic process
GO:0016079	synaptic vesicle exocytosis
GO:0016080	synaptic vesicle targeting
GO:0016081	synaptic vesicle docking
GO:0016082	synaptic vesicle priming
GO:0016084	myostimulatory hormone activity
GO:0016085	myoinhibitory hormone activity
GO:0016093	polyprenol metabolic process
GO:0016094	polyprenol biosynthetic process
GO:0016095	polyprenol catabolic process
GO:0016098	monoterpenoid metabolic process
GO:0016099	monoterpenoid biosynthetic process
GO:0016100	monoterpenoid catabolic process
GO:0016101	diterpenoid metabolic process
GO:0016102	diterpenoid biosynthetic process
GO:0016103	diterpenoid catabolic process
GO:0016104	triterpenoid biosynthetic process
GO:0016105	triterpenoid catabolic process
GO:0016106	sesquiterpenoid biosynthetic process
GO:0016107	sesquiterpenoid catabolic process
GO:0016108	tetraterpenoid metabolic process
GO:0016109	tetraterpenoid biosynthetic process
GO:0016110	tetraterpenoid catabolic process
GO:0016114	terpenoid biosynthetic process
GO:0016115	terpenoid catabolic process
GO:0016116	carotenoid metabolic process
GO:0016117	carotenoid biosynthetic process
GO:0016118	carotenoid catabolic process
GO:0016119	carotene metabolic process
GO:0016120	carotene biosynthetic process
GO:0016121	carotene catabolic process
GO:0016122	xanthophyll metabolic process
GO:0016123	xanthophyll biosynthetic process
GO:0016124	xanthophyll catabolic process
GO:0016125	sterol metabolic process
GO:0016126	sterol biosynthetic process
GO:0016127	sterol catabolic process
GO:0016128	phytosteroid metabolic process
GO:0016129	phytosteroid biosynthetic process
GO:0016131	brassinosteroid metabolic process
GO:0016132	brassinosteroid biosynthetic process
GO:0016134	saponin metabolic process
GO:0016135	saponin biosynthetic process
GO:0016136	saponin catabolic process
GO:0016137	glycoside metabolic process
GO:0016138	glycoside biosynthetic process
GO:0016139	glycoside catabolic process
GO:0016143	S-glycoside metabolic process
GO:0016144	S-glycoside biosynthetic process
GO:0016145	S-glycoside catabolic process
GO:0016149	translation release factor activity, codon specific
GO:0016150	translation release factor activity, codon nonspecific
GO:0016151	nickel cation binding
GO:0016152	mercury (II) reductase activity
GO:0016153	urocanate hydratase activity
GO:0016154	pyrimidine-nucleoside phosphorylase activity
GO:0016155	formyltetrahydrofolate dehydrogenase activity
GO:0016156	fumarate reductase (NADH) activity
GO:0016157	sucrose synthase activity
GO:0016158	3-phytase activity
GO:0016159	muconolactone delta-isomerase activity
GO:0016160	amylase activity
GO:0016161	beta-amylase activity
GO:0016162	cellulose 1,4-beta-cellobiosidase activity
GO:0016163	nitrogenase activity
GO:0016165	linoleate 13S-lipoxygenase activity
GO:0016166	phytoene dehydrogenase activity
GO:0016167	glial cell-derived neurotrophic factor receptor activity
GO:0016168	chlorophyll binding
GO:0016170	interleukin-15 receptor binding
GO:0016174	NAD(P)H oxidase activity
GO:0016175	superoxide-generating NADPH oxidase activity
GO:0016176	superoxide-generating NADPH oxidase activator activity
GO:0016180	snRNA processing
GO:0016182	synaptic vesicle budding from endosome
GO:0016185	synaptic vesicle budding from presynaptic endocytic zone membrane
GO:0016188	synaptic vesicle maturation
GO:0016189	synaptic vesicle to endosome fusion
GO:0016191	synaptic vesicle uncoating
GO:0016192	vesicle-mediated transport
GO:0016197	endosomal transport
GO:0016198	axon choice point recognition
GO:0016199	axon midline choice point recognition
GO:0016200	synaptic target attraction
GO:0016201	synaptic target inhibition
GO:0016202	regulation of striated muscle tissue development
GO:0016203	muscle attachment
GO:0016204	determination of muscle attachment site
GO:0016206	catechol O-methyltransferase activity
GO:0016207	4-coumarate-CoA ligase activity
GO:0016208	AMP binding
GO:0016209	antioxidant activity
GO:0016210	naringenin-chalcone synthase activity
GO:0016211	ammonia ligase activity
GO:0016212	kynurenine-oxoglutarate transaminase activity
GO:0016213	linoleoyl-CoA desaturase activity
GO:0016215	acyl-CoA desaturase activity
GO:0016216	isopenicillin-N synthase activity
GO:0016222	procollagen-proline 4-dioxygenase complex
GO:0016223	beta-alanine-pyruvate transaminase activity
GO:0016226	iron-sulfur cluster assembly
GO:0016229	steroid dehydrogenase activity
GO:0016230	sphingomyelin phosphodiesterase activator activity
GO:0016231	beta-N-acetylglucosaminidase activity
GO:0016232	HNK-1 sulfotransferase activity
GO:0016233	telomere capping
GO:0016234	inclusion body
GO:0016235	aggresome
GO:0016236	macroautophagy
GO:0016237	lysosomal microautophagy
GO:0016239	positive regulation of macroautophagy
GO:0016240	autophagosome membrane docking
GO:0016241	regulation of macroautophagy
GO:0016242	negative regulation of macroautophagy
GO:0016243	regulation of autophagosome size
GO:0016246	RNA interference
GO:0016247	channel regulator activity
GO:0016248	channel inhibitor activity
GO:0016250	N-sulfoglucosamine sulfohydrolase activity
GO:0016251	RNA polymerase II general transcription initiation factor activity
GO:0016255	attachment of GPI anchor to protein
GO:0016256	N-glycan processing to lysosome
GO:0016259	selenocysteine metabolic process
GO:0016260	selenocysteine biosynthetic process
GO:0016261	selenocysteine catabolic process
GO:0016262	protein N-acetylglucosaminyltransferase activity
GO:0016263	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity
GO:0016264	gap junction assembly
GO:0016266	O-glycan processing
GO:0016267	O-glycan processing, core 1
GO:0016269	O-glycan processing, core 3
GO:0016272	prefoldin complex
GO:0016273	arginine N-methyltransferase activity
GO:0016274	protein-arginine N-methyltransferase activity
GO:0016277	[myelin basic protein]-arginine N-methyltransferase activity
GO:0016278	lysine N-methyltransferase activity
GO:0016279	protein-lysine N-methyltransferase activity
GO:0016281	eukaryotic translation initiation factor 4F complex
GO:0016282	eukaryotic 43S preinitiation complex
GO:0016286	small conductance calcium-activated potassium channel activity
GO:0016287	glycerone-phosphate O-acyltransferase activity
GO:0016289	CoA hydrolase activity
GO:0016290	palmitoyl-CoA hydrolase activity
GO:0016295	myristoyl-[acyl-carrier-protein] hydrolase activity
GO:0016296	palmitoyl-[acyl-carrier-protein] hydrolase activity
GO:0016297	acyl-[acyl-carrier-protein] hydrolase activity
GO:0016298	lipase activity
GO:0016300	tRNA (uracil) methyltransferase activity
GO:0016301	kinase activity
GO:0016303	1-phosphatidylinositol-3-kinase activity
GO:0016307	phosphatidylinositol phosphate kinase activity
GO:0016308	1-phosphatidylinositol-4-phosphate 5-kinase activity
GO:0016309	1-phosphatidylinositol-5-phosphate 4-kinase activity
GO:0016310	phosphorylation
GO:0016311	dephosphorylation
GO:0016312	inositol bisphosphate phosphatase activity
GO:0016314	phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity
GO:0016316	phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity
GO:0016318	ommatidial rotation
GO:0016319	mushroom body development
GO:0016320	endoplasmic reticulum membrane fusion
GO:0016321	female meiosis chromosome segregation
GO:0016322	neuron remodeling
GO:0016323	basolateral plasma membrane
GO:0016324	apical plasma membrane
GO:0016325	oocyte microtubule cytoskeleton organization
GO:0016327	apicolateral plasma membrane
GO:0016328	lateral plasma membrane
GO:0016330	second mitotic wave involved in compound eye morphogenesis
GO:0016331	morphogenesis of embryonic epithelium
GO:0016332	establishment or maintenance of polarity of embryonic epithelium
GO:0016333	morphogenesis of follicular epithelium
GO:0016334	establishment or maintenance of polarity of follicular epithelium
GO:0016335	morphogenesis of larval imaginal disc epithelium
GO:0016336	establishment or maintenance of polarity of larval imaginal disc epithelium
GO:0016338	calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules
GO:0016339	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules
GO:0016340	calcium-dependent cell-matrix adhesion
GO:0016342	catenin complex
GO:0016344	meiotic chromosome movement towards spindle pole
GO:0016346	male meiotic chromosome movement towards spindle pole
GO:0016348	imaginal disc-derived leg joint morphogenesis
GO:0016358	dendrite development
GO:0016360	sensory organ precursor cell fate determination
GO:0016361	activin receptor activity, type I
GO:0016362	activin receptor activity, type II
GO:0016363	nuclear matrix
GO:0016401	palmitoyl-CoA oxidase activity
GO:0016402	pristanoyl-CoA oxidase activity
GO:0016403	dimethylargininase activity
GO:0016404	15-hydroxyprostaglandin dehydrogenase (NAD+) activity
GO:0016405	CoA-ligase activity
GO:0016406	carnitine O-acyltransferase activity
GO:0016407	acetyltransferase activity
GO:0016408	C-acyltransferase activity
GO:0016409	palmitoyltransferase activity
GO:0016410	N-acyltransferase activity
GO:0016411	acylglycerol O-acyltransferase activity
GO:0016412	serine O-acyltransferase activity
GO:0016413	O-acetyltransferase activity
GO:0016414	O-octanoyltransferase activity
GO:0016415	octanoyltransferase activity
GO:0016416	O-palmitoyltransferase activity
GO:0016417	S-acyltransferase activity
GO:0016418	S-acetyltransferase activity
GO:0016419	S-malonyltransferase activity
GO:0016420	malonyltransferase activity
GO:0016421	CoA carboxylase activity
GO:0016422	mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity
GO:0016423	tRNA (guanine) methyltransferase activity
GO:0016426	tRNA (adenine) methyltransferase activity
GO:0016427	tRNA (cytosine) methyltransferase activity
GO:0016428	tRNA (cytosine-5-)-methyltransferase activity
GO:0016429	tRNA (adenine-N1-)-methyltransferase activity
GO:0016430	tRNA (adenine-N6-)-methyltransferase activity
GO:0016433	rRNA (adenine) methyltransferase activity
GO:0016434	rRNA (cytosine) methyltransferase activity
GO:0016435	rRNA (guanine) methyltransferase activity
GO:0016436	rRNA (uridine) methyltransferase activity
GO:0016437	tRNA cytidylyltransferase activity
GO:0016441	posttranscriptional gene silencing
GO:0016442	RISC complex
GO:0016443	bidentate ribonuclease III activity
GO:0016444	somatic cell DNA recombination
GO:0016445	somatic diversification of immunoglobulins
GO:0016446	somatic hypermutation of immunoglobulin genes
GO:0016447	somatic recombination of immunoglobulin gene segments
GO:0016453	C-acetyltransferase activity
GO:0016454	C-palmitoyltransferase activity
